Name,Department,Semester,Maths,Physics,Programming,English,Attendance (%),CGPA
Student_1,Mechanical,Fall 2023,96,68,45,68,70,3.32
Student_2,Computer Science,Summer 2024,48,80,71,95,92,2.86
Student_3,Electrical,Fall 2023,98,94,74,94,79,3.33
Student_4,Business,Summer 2024,87,80,82,95,75,3.48
Student_5,Mathematics,Summer 2024,83,86,69,89,67,3.05
Student_6,Electrical,Spring 2024,95,52,76,53,87,3.93
Student_7,Mathematics,Summer 2024,73,100,93,72,72,2.73
Student_8,Mechanical,Summer 2024,58,87,63,99,87,2.19
Student_9,Mechanical,Fall 2023,59,54,81,75,84,2.71
Student_10,Mechanical,Summer 2024,65,48,100,93,77,2.05
Student_11,Electrical,Summer 2024,59,87,48,54,74,3.48
Student_12,Business,Spring 2024,51,60,66,47,79,2.75
Student_13,Mechanical,Summer 2024,57,53,62,74,100,2.95
Student_14,Mathematics,Summer 2024,54,59,61,64,93,3.68
Student_15,Electrical,Fall 2023,85,92,66,49,81,2.97
Student_16,Electrical,Spring 2024,73,53,87,86,88,2.04
Student_17,Mechanical,Fall 2023,91,71,53,55,80,3.37
Student_18,Electrical,Summer 2024,58,97,84,85,89,3.16
Student_19,Business,Spring 2024,71,51,59,74,79,3.77
Student_20,Electrical,Fall 2023,82,52,75,53,85,2.69
Student_21,Business,Fall 2023,87,65,70,73,84,3.65
Student_22,Mechanical,Summer 2024,62,64,70,57,92,2.01
Student_23,Electrical,Fall 2023,75,99,86,81,72,3.33
Student_24,Electrical,Summer 2024,77,68,59,100,94,3.77
Student_25,Electrical,Fall 2023,98,64,81,68,98,2.58
Student_26,Business,Fall 2023,76,54,79,50,67,3.59
Student_27,Business,Fall 2023,84,98,62,46,74,2.77
Student_28,Electrical,Summer 2024,84,45,79,100,72,3.62
Student_29,Mathematics,Summer 2024,67,75,52,62,87,2.94
Student_30,Mechanical,Spring 2024,47,98,98,66,79,2.72
